snapshot_time,icao24,callsign,lat,lon,altitude_ft,speed_kts,on_ground,nearest_base,dist_km,country
2026-03-23 18:28 UTC,AE144F,RCH580,32.8123,32.724,36000,384,False,RAF Akrotiri,200,United States
2026-03-23 18:28 UTC,AE0451,RG04,29.9366,33.7162,13075,324,False,Tabuk AB,366,United States
2026-03-23 18:28 UTC,AE0800,RCH302,35.4662,28.1351,34000,390,False,Souda Bay,442,United States
2026-03-23 18:28 UTC,AE0560,RCH1873,35.3056,26.8091,31000,492,False,Souda Bay,296,United States
2026-03-23 18:28 UTC,A97C49,CMB553,34.6477,27.6338,33000,486,False,Souda Bay,399,United States
2026-03-23 18:28 UTC,AE117D,RCH648,41.0019,24.7835,29000,456,False,Souda Bay,611,United States
2026-03-23 18:28 UTC,AE144F,RCH580,32.8313,32.687,36000,383,False,RAF Akrotiri,198,United States
2026-03-23 18:28 UTC,AE0451,RG04,29.9186,33.7432,13050,324,False,Tabuk AB,363,United States
2026-03-23 18:28 UTC,AE0800,RCH302,35.4954,28.0921,34000,390,False,Souda Bay,438,United States
2026-03-23 18:28 UTC,AE0560,RCH1873,35.3056,26.8091,31000,492,False,Souda Bay,296,United States
2026-03-23 18:28 UTC,A97C49,CMB553,34.6477,27.6338,33000,486,False,Souda Bay,399,United States
2026-03-23 18:28 UTC,AE117D,RCH648,40.9528,24.8031,29000,456,False,Souda Bay,606,United States
